1 10.114
2 13.852
3 15.377
4 16.022
5 15.81
6 15.588
7 15.003
8 14.163
9 13.166
10 12.939
11 11.694
12 11.76
13 11.027
14 9.977
15 9.551
16 9.024
17 8.824
18 8.324
19 7.707
20 7.411
21 6.877
22 6.806
23 6.229
24 6.21
25 5.79
26 5.673
27 5.265
28 5.091
29 4.748
30 4.502
31 4.417
32 4.277
33 4.037
34 3.856
35 3.761
36 3.507
37 3.503
38 3.314
39 3.152
40 3.084
41 2.973
42 2.841
43 2.754
44 2.64
45 2.497
46 2.478
47 2.369
48 2.267
49 2.325
50 2.272
51 2.207
52 2.047
53 2.101
54 1.945
55 1.878
56 1.939
57 1.8
58 1.792
59 1.716
60 1.651
61 1.627
62 1.561
63 1.514
64 1.488
65 1.495
66 1.432
67 1.386
68 1.333
69 1.298
70 1.273
71 1.234
72 1.219
73 1.18
74 1.161
75 1.142
76 1.116
77 1.12
78 1.097
79 1.081
80 1.064
81 1.053
82 1.042
83 1.037
84 1.027
85 1.015
86 1.019
87 1.014
88 1.006
89 1.005
90 1.004
91 1.002
92 1.004
93 1
94 1
95 1
96 1
97 1
98 1
99 1
