1 1
2 1
3 1.114
4 1.485
5 2.148
6 3.192
7 4.666
8 5.802
9 7.829
10 9.692
11 12.432
12 14.791
13 18.55
14 22.717
15 25.099
16 26.857
17 33.391
18 34.92
19 42.165
20 52.183
21 50.024
22 57.003
23 60.775
24 68.581
25 70.936
26 80.448
27 93.638
28 101.339
29 99.768
